
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
16    | 16   | A4717369 | 312034999801   |     10.000 | EA  | 16092901   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 34   | A4821700 | 312034999802   |      5.000 | EA  | 70700102   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 34   | A4808228 | 312034999802   |      4.000 | EA  | 70650401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2   | 95   | A4812861 | 312034999901   |      2.000 | EA  | 95170501   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 82C  | A4809507 | 312034999901   |      2.000 | BX  | 82410301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
08    | 08   | A4698961 | 312034999901   |      2.000 | EA  | 08543201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
07    | 07   | A4774124 | 312034999901   |      1.000 | EA  | 07013301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
19    | 19   | A4817080 | 312034999901   |      6.000 | EA  | 19511203   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
12    | 12   | A4819535 | 312034999901   |      2.000 | EA  | 12093602   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 88   | A4756723 | 312034999901   |      2.000 | EA  | 88070605   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
15    | 15   | A4796889 | 312034999901   |      3.000 | EA  | 15731401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 95C  | A4746799 | 312034999901   |      2.000 | PH  | 95230401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1   | 75   | A4813429 | 312034999901   |      6.000 | EA  | 75010301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 90   | A4761163 | 312034999901   |      1.000 | EA  | 90090404   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1A  | 75A  | A4824610 | 312034999901   |     30.000 | RL  | 75130101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
08    | 08   | A4697777 | 312034999901   |      2.000 | PH  | 08022502   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1   | 79   | A4812809 | 311063318806   |     12.000 | EA  | 79200401   |           | 04/12/13 | 05:15:53 | CONCURRE | 116107       | TRANSPORT CLEANING SERVICES         | 
GS3   | 90   | A4812809 | 311063318806   |      8.000 | EA  | 90060604   |           | 04/12/13 | 05:15:53 | CONCURRE | 116107       | TRANSPORT CLEANING SERVICES         | 
12    | 12   | A4248083 | 311133800004   |      2.000 | EA  | 12034401   |           | 04/12/13 | 05:26:26 | CONCURRE | 260770       | MILLER CAMERA SUPPORT EQUIPMENT     | 
GS3   | 91   | A4821991 | 311184037305   |      0.200 | PH  | 91050301   |           | 04/12/13 | 05:26:26 | CONCURRE | 002294       | SHANGRI-LA HOTEL                    | 
07    | 07   | A4824996 | 311184050204   |      2.000 | EA  | 07635602   |           | 04/12/13 | 05:26:26 | CONCURRE | 022775       | CONSEP PTY LIMITED                  | 
WHSE  | 34   | A4824903 | 311194124305   |     13.000 | EA  | 70010201   |           | 04/12/13 | 05:26:26 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
15    | 15   | A4825150 | 311224333204   |      3.000 | EA  | 15673502   |           | 04/12/13 | 05:26:26 | CONCURRE | 050999       | AMCOR BOTANY                        | 
08    | 08   | A4825151 | 311224333204   |      1.000 | EA  | 08225803   |           | 04/12/13 | 05:26:26 | CONCURRE | 050999       | AMCOR BOTANY                        | 
