
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT MONDAY, NOVEMBER 11, 2013 16:00     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
RECEIVE              | 09652201             |  1 | A4812804 |    200    | EA | _______ | Putaway   | 11/11 09:01 | SM563290 | 01295500  SCREW MTS RND SLOT BRASS BSW 3/16X1"    
RECEIVE              | 09654903             |  1 | A4813370 |    300    | EA | _______ | Putaway   | 11/11 15:32 | SM564073 | 02754755  WASHER FLAT HT CL8.8 BLK 20MM           
RECEIVE              | 09696101             |  1 | A4812817 |      2    | EA | _______ | Putaway   | 11/11 09:06 | SM562991 | 00030727  SET CIRCLIP & MINI JBS -MS 3PC PCM1-EVA 
RECEIVE              | 09732202             |  1 | A4812844 |     10    | EA | _______ | Putaway   | 11/11 09:34 | SM563236 | 06156132  MULTIGRIP 1000V JBS 250MM               
RECEIVE              | 10013502             |  1 | A4813316 |     48    | EA | _______ | Putaway   | 11/11 14:02 | SM564439 | 03381528  PADLOCK 30MM EBONY 80MM HARD STL SHKLE  
RECEIVE              | 10072102             |  1 | A4813060 |     10    | EA | _______ | Putaway   | 11/11 10:53 | SM563191 | 03101702  ELBOW MALLEABLE GALV M & F 90 DEG  25 NB
RECEIVE              | 10163102             |  1 | A4813272 |     10    | EA | _______ | Putaway   | 11/11 13:44 | SM564078 | 04428056  INSERT MILLING TPKN 2204PDTR-MD15 T25M  
RECEIVE              | 10163601             |  1 | A4812959 |   1000    | EA | _______ | Putaway   | 11/11 09:57 | SM563171 | 02383903  SCREW SKT CSK HD UNBRAKO 8X20MM         
RECEIVE              | 10165301             |  1 | A4813028 |    200    | EA | _______ | Putaway   | 11/11 10:41 | SM562787 | 02217707  SCREW SKT CSK HD UNBRAKO 3X16MM         
RECEIVE              | 10165601             |  1 | A4812755 |      1    | EA | _______ | Putaway   | 11/11 08:17 |          | 02469002  SCOTCHMATE SJ3526 HOOK BLACK 25MMX45.7M 
RECEIVE              | 10176101             |  1 | A4812882 |     30    | EA | _______ | Putaway   | 11/11 09:40 | SM563639 | 07896303  SPECS SPRINT BLK/SIL FR CLR AF LENS     
RECEIVE              | 10182802             |  1 | A4813029 |    300    | EA | _______ | Putaway   | 11/11 10:41 | SM562787 | 02452805  SCREW SKT CSK HD UNBRAKO 12X45MM        
RECEIVE              | 10193402             |  1 | A4813334 |     10    | PR | _______ | Putaway   | 11/11 14:37 | SM563003 | 02035653  INSOLES COMFORT FOOTBED BATA 12-13      
RECEIVE              | 10226001             |  1 | A4812843 |      1    | EA | _______ | Putaway   | 11/11 09:34 | SM563236 | 06152375  CUTTER PIPE H/DUTY JBSMASTERS 10-61MM OD
RECEIVE              | 10532001             |  1 | A4813306 |      2    | EA | _______ | Putaway   | 11/11 13:53 | SM562813 | 03327104  VALVE FLOAT BARE BRASS SCD/LEVER 1 1/2" 
RECEIVE              | 10561102             |  1 | A4813313 |      8    | EA | _______ | Putaway   | 11/11 13:58 | SM553183 | 00672754  SPEEDBONDER HIGH TEMP LOCTITE 32530 50ML
RECEIVE              | 10564303             |  1 | A4813147 |      5    | EA | _______ | Putaway   | 11/11 11:58 | SM563297 | 08091038  BOOK FASTENERS REFERENCE (BLACK BOOK)   
RECEIVE              | 10606002             |  1 | A4812957 |    200    | EA | _______ | Putaway   | 11/11 09:57 | SM563171 | 01945504  SCREW SKT SET (GRUB) UNBRAKO UNC 1/4X1/4
RECEIVE              | 10610902             |  1 | A4813351 |    200    | EA | _______ | Putaway   | 11/11 14:49 | SM563738 | 02004004  NUT CONELOK GRADE B ZINC PL UNC 3/8"    
RECEIVE              | 10615702             |  1 | A4812958 |   1800    | EA | _______ | Putaway   | 11/11 09:57 | SM563171 | 01964307  SCREW SKT SET (GRUB) UNBRAKO 4X5MM      
RECEIVE              | 10625003             |  1 | A4813008 |    500    | EA | _______ | Putaway   | 11/11 10:15 | SM563505 | 02014405  PIN ROLL SPRING (SEL-LOK) ZP 3/16X2     
