
J. BLACKWOOD & SON LIMITED           OUTSTANDING ORDER NOT APPEARED IN RF QUEUE TUESDAY, JUNE 25, 2013 14:07
----------------------------------------------------------------------------------------------------------------------------------
ORDER               |RECEIVED|PRODUCT             |STOCKID |LOCATION            |ORDERED   |UO| POSSIBLE REASONS
306253968101        |25/06/13|05685501            |        |                    |       100|EA|
306253968101        |25/06/13|05722008            |        |                    |        50|EA|
306253968101        |25/06/13|05722105            |        |                    |        50|EA|
306253968101        |25/06/13|07627907            |        |                    |         2|EA|
306253969900        |25/06/13|02750400            |        |                    |       400|EA|
306253969900        |25/06/13|03113234            |        |                    |         5|EA|Stock A4722997 is allocated
306253969900        |25/06/13|05938515            |        |                    |        20|EA|
306253970800        |25/06/13|06302791            |        |                    |         1|EA|
306253972400        |25/06/13|00460254            |        |                    |         1|EA|
306253974000        |25/06/13|00983882            |        |                    |       100|EA|
306253973600        |25/06/13|06185797            |        |                    |         1|EA|
306253974400        |25/06/13|01009602            |        |                    |         1|EA|
306253974600        |25/06/13|03519534            |        |                    |         1|EA|
306253974600        |25/06/13|03783308            |        |                    |         1|EA|
Total Records: 170
