J. BLACKWOOD & SON LIMITED           RE-ENTRY KEY/ PAGE ID ORDERS REPORT  - SORTED BY PICKING ORDER NUMBER.     TUESDAY, JUNE 25, 2013 14:06   PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ORDER       |   ZONE   | CUSTOMER     | CUSTOMER                            |      LABEL     | RE-ENTRY |      STATUS    | PRODUCT    | ALLOCATED  | PICK | ALLOCATED |  ORDERED  |  AVAILBLE 
 NUMBER      |          | NUMBER       | NAME                                |  DATE    TIME  |   KEY    |                |            | LOCATION   | LINE | STOCK ID  |  QUANTITY |  QUANTITY
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
306133252400 | 33    | 361449       | SYDNEY SHIP REPAIR & ENGINEERING PT | 25/06/13 09:25 | 989900   | Nothing Picked | 06792595   | CROSSDOC   | CRSS | A4718826  |         1 |         0
306143268502 | 02    | 008699       | RAILCORP ECOMMERCE ARIBA ACC        | 25/06/13 11:25 | 990799   | Nothing Picked | 06414974   | CROSSDOC   | CRSS | A4718765  |         1 |         0
306143289702 | 23    | 081301       | BANKSTOWN CITY COUNCIL              | 25/06/13 13:36 | 991392   | Nothing Picked | 06480322   | CROSSDOC   | CRSS | A4718774  |         1 |         0
306143294401 | 16    | 880012       | A N S T O (PURCHASE ORDERS)         | 25/06/13 11:25 | 990800   | Nothing Picked | 07812051   | CROSSDOC   | CRSS | A4718777  |         1 |         0
306143295501 | 19    | 267552       | O-I AUSTRALIA - NATIONAL ACCOUNT    | 25/06/13 11:25 | 990801   | Nothing Picked | 07851746   | CROSSDOC   | CRSS | A4718778  |         4 |         0
306143297301 | 11    | 093435       | THORN LIGHTING                      | 25/06/13 12:36 | 991076   | Nothing Picked | 01974708   | PICKRECV   | RECV | A4724928  |       850 |         0
306143308301 | 06    | 880352       | ZOOLOGICAL PARK BOARD               | 25/06/13 10:57 | 990666   | Nothing Picked | 01649484   | CROSSDOC   | CRSS | A4724822  |         1 |         0
306173347902 | 57    | 082546       | THALES AUSTRALIA                    | 25/06/13 13:05 |      0   | Nothing Picked | 04352505   |            |      |           |         2 |        30
306173360701 | 10    | 001951       | AUSTRALIAN ENGINEERING SALES & SERV | 25/06/13 10:33 | 991444   | Nothing Picked | 09817235   | CROSSDOC   | CRSS | A4719585  |         2 |         0
306173365702 | 07    | 096151       | BASELL AUSTRALIA PTY LTD            | 25/06/13 10:12 | 990415   | Nothing Picked | 04470656   | PICKRECV   | RECV | A4724745  |        50 |         0
